"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2021","94.04","94.31","94.39","93.99","-","-0.21%"
"Sep 30, 2021","94.23","94.35","94.50","94.11","-","-0.11%"
"Sep 29, 2021","94.34","93.72","94.43","93.67","-","0.61%"
"Sep 28, 2021","93.77","93.41","93.81","93.36","-","0.41%"
"Sep 27, 2021","93.38","93.28","93.49","93.21","-","0.06%"
"Sep 24, 2021","93.33","93.07","93.42","93.05","-","-0.14%"
"Sep 23, 2021","93.46","93.48","93.52","92.98","-","0.00%"
"Sep 22, 2021","93.46","93.22","93.51","92.99","-","0.28%"
"Sep 21, 2021","93.20","93.24","93.29","93.05","-","-0.08%"
"Sep 20, 2021","93.28","93.25","93.45","93.18","-","0.09%"
"Sep 17, 2021","93.19","92.88","93.25","92.76","-","0.28%"
"Sep 16, 2021","92.93","92.46","92.96","92.46","-","0.41%"
"Sep 15, 2021","92.55","92.68","92.68","92.42","-","-0.08%"
"Sep 14, 2021","92.62","92.62","92.68","92.32","-","-0.06%"
"Sep 13, 2021","92.68","92.61","92.89","92.57","-","0.10%"
"Sep 10, 2021","92.58","92.53","92.65","92.33","-","0.11%"
"Sep 09, 2021","92.48","92.71","92.76","92.38","-","-0.19%"
"Sep 08, 2021","92.65","92.54","92.86","92.47","-","0.15%"
"Sep 07, 2021","92.51","92.20","92.57","92.10","-","0.52%"
"Sep 06, 2021","92.04","92.12","92.31","92.04","-","0.00%"
"Sep 03, 2021","92.04","92.22","92.26","91.95","-","-0.21%"
"Sep 02, 2021","92.22","92.51","92.54","92.21","-","-0.24%"
"Sep 01, 2021","92.45","92.66","92.79","92.38","-","-0.19%"
"Aug 31, 2021","92.63","92.71","92.75","92.40","-","-0.03%"
"Aug 30, 2021","92.65","92.68","92.79","92.60","-","-0.04%"
"Aug 27, 2021","92.69","93.03","93.18","92.63","-","-0.40%"
"Aug 26, 2021","93.06","92.83","93.08","92.81","-","0.26%"
"Aug 25, 2021","92.82","92.88","93.13","92.81","-","-0.07%"
"Aug 24, 2021","92.89","92.99","93.08","92.81","-","-0.07%"
"Aug 23, 2021","92.96","93.46","93.50","92.95","-","-0.58%"
"Aug 20, 2021","93.50","93.56","93.73","93.43","-","-0.08%"
"Aug 19, 2021","93.57","93.14","93.58","93.14","-","0.46%"
"Aug 18, 2021","93.14","93.14","93.26","92.96","-","0.01%"
"Aug 17, 2021","93.13","92.62","93.17","92.61","-","0.54%"
"Aug 16, 2021","92.63","92.52","92.66","92.48","-","0.12%"
"Aug 13, 2021","92.52","92.97","93.01","92.47","-","-0.56%"
"Aug 12, 2021","93.04","92.89","93.04","92.85","-","0.12%"
"Aug 11, 2021","92.92","93.07","93.19","92.80","-","-0.14%"
"Aug 10, 2021","93.06","92.98","93.14","92.94","-","0.12%"
"Aug 09, 2021","92.94","92.78","92.99","92.72","-","0.16%"
"Aug 06, 2021","92.80","92.26","92.84","92.26","-","0.60%"
"Aug 05, 2021","92.24","92.28","92.35","92.11","-","-0.03%"
"Aug 04, 2021","92.27","92.04","92.31","91.82","-","0.21%"
"Aug 03, 2021","92.08","92.06","92.15","91.89","-","0.04%"
"Aug 02, 2021","92.05","92.09","92.17","91.91","-","-0.14%"
"Jul 30, 2021","92.17","91.85","92.20","91.78","-","0.34%"
"Jul 29, 2021","91.86","92.26","92.29","91.86","-","-0.50%"
"Jul 28, 2021","92.32","92.46","92.75","92.24","-","-0.12%"
"Jul 27, 2021","92.43","92.63","92.84","92.32","-","-0.23%"
"Jul 26, 2021","92.65","92.91","92.96","92.53","-","-0.28%"
"Jul 23, 2021","92.91","92.81","93.02","92.78","-","0.10%"
"Jul 22, 2021","92.82","92.80","92.92","92.51","-","0.07%"
"Jul 21, 2021","92.75","92.97","93.19","92.73","-","-0.24%"
"Jul 20, 2021","92.97","92.88","93.17","92.80","-","0.09%"
"Jul 19, 2021","92.89","92.71","93.04","92.64","-","0.22%"
"Jul 16, 2021","92.69","92.59","92.76","92.53","-","0.07%"
"Jul 15, 2021","92.62","92.39","92.69","92.27","-","0.23%"
"Jul 14, 2021","92.41","92.80","92.83","92.35","-","-0.37%"
"Jul 13, 2021","92.75","92.23","92.81","92.14","-","0.53%"
"Jul 12, 2021","92.26","92.10","92.42","92.08","-","0.14%"
"Jul 09, 2021","92.13","92.36","92.54","92.09","-","-0.31%"
"Jul 08, 2021","92.42","92.70","92.79","92.24","-","-0.25%"
"Jul 07, 2021","92.64","92.53","92.85","92.43","-","0.11%"
"Jul 06, 2021","92.55","92.24","92.66","92.00","-","0.36%"
"Jul 05, 2021","92.21","92.24","92.36","92.14","-","-0.02%"
"Jul 02, 2021","92.23","92.57","92.74","92.18","-","-0.40%"
"Jul 01, 2021","92.60","92.35","92.60","92.26","-","0.17%"
"Jun 30, 2021","92.44","92.08","92.45","92.00","-","0.42%"
"Jun 29, 2021","92.05","91.88","92.19","91.86","-","0.18%"
"Jun 28, 2021","91.89","91.81","92.01","91.70","-","0.04%"
"Jun 25, 2021","91.85","91.83","91.88","91.53","-","0.04%"
"Jun 24, 2021","91.81","91.80","91.91","91.66","-","0.01%"
"Jun 23, 2021","91.80","91.73","91.90","91.51","-","0.05%"
"Jun 22, 2021","91.76","91.88","92.14","91.64","-","-0.16%"
"Jun 21, 2021","91.90","92.32","92.37","91.83","-","-0.35%"
"Jun 18, 2021","92.22","91.88","92.40","91.81","-","0.37%"
"Jun 17, 2021","91.89","91.43","92.01","91.31","-","0.83%"
"Jun 16, 2021","91.13","90.54","91.40","90.44","-","0.65%"
"Jun 15, 2021","90.54","90.48","90.68","90.35","-","0.02%"
"Jun 14, 2021","90.52","90.51","90.60","90.41","-","-0.04%"
"Jun 11, 2021","90.56","90.07","90.61","89.96","-","0.53%"
"Jun 10, 2021","90.08","90.14","90.31","89.98","-","-0.04%"
"Jun 09, 2021","90.12","90.13","90.17","89.84","-","0.04%"
"Jun 08, 2021","90.08","89.98","90.18","89.95","-","0.14%"
"Jun 07, 2021","89.95","90.13","90.30","89.91","-","-0.21%"
"Jun 04, 2021","90.14","90.47","90.63","90.03","-","-0.41%"
"Jun 03, 2021","90.51","89.93","90.55","89.89","-","0.67%"
"Jun 02, 2021","89.91","89.92","90.25","89.86","-","0.09%"
"Jun 01, 2021","89.83","89.81","89.94","89.66","-","-0.22%"
"May 31, 2021","90.03","90.06","90.12","89.82","-","0.00%"
"May 28, 2021","90.03","90.03","90.44","89.98","-","0.07%"
"May 27, 2021","89.97","90.08","90.18","89.89","-","-0.08%"
"May 26, 2021","90.04","89.69","90.11","89.59","-","0.45%"
"May 25, 2021","89.64","89.85","89.87","89.53","-","-0.22%"
"May 24, 2021","89.84","90.03","90.10","89.76","-","-0.20%"
"May 21, 2021","90.02","89.78","90.15","89.65","-","0.23%"
"May 20, 2021","89.81","90.21","90.23","89.75","-","-0.42%"
"May 19, 2021","90.19","89.78","90.29","89.69","-","0.49%"
"May 18, 2021","89.75","90.18","90.20","89.69","-","-0.45%"
"May 17, 2021","90.16","90.30","90.43","90.15","-","-0.18%"
"May 14, 2021","90.32","90.76","90.80","90.28","-","-0.47%"
"May 13, 2021","90.75","90.75","90.91","90.59","-","0.04%"
"May 12, 2021","90.71","90.19","90.80","90.16","-","0.63%"
"May 11, 2021","90.14","90.24","90.36","89.98","-","-0.08%"
"May 10, 2021","90.21","90.23","90.34","90.04","-","-0.02%"
"May 07, 2021","90.23","90.88","90.96","90.19","-","-0.79%"
"May 06, 2021","90.95","91.27","91.38","90.88","-","-0.39%"
"May 05, 2021","91.31","91.28","91.44","91.17","-","0.02%"
"May 04, 2021","91.29","91.00","91.40","90.99","-","0.38%"
"May 03, 2021","90.94","91.30","91.39","90.87","-","-0.37%"
"Apr 30, 2021","91.28","90.63","91.32","90.59","-","0.74%"
"Apr 29, 2021","90.61","90.55","90.79","90.42","-","0.00%"
"Apr 28, 2021","90.61","90.90","91.13","90.55","-","-0.33%"
"Apr 27, 2021","90.91","90.88","91.07","90.81","-","0.11%"
"Apr 26, 2021","90.81","90.83","90.99","90.68","-","-0.06%"
"Apr 23, 2021","90.86","91.29","91.30","90.81","-","-0.51%"
"Apr 22, 2021","91.33","91.11","91.42","91.00","-","0.19%"
"Apr 21, 2021","91.16","91.21","91.43","91.09","-","-0.09%"
"Apr 20, 2021","91.24","91.05","91.28","90.86","-","0.19%"
"Apr 19, 2021","91.07","91.54","91.75","91.03","-","-0.54%"
"Apr 16, 2021","91.56","91.66","91.81","91.49","-","-0.14%"
"Apr 15, 2021","91.69","91.63","91.75","91.49","-","0.00%"
"Apr 14, 2021","91.69","91.83","91.83","91.57","-","-0.17%"
"Apr 13, 2021","91.85","92.08","92.33","91.79","-","-0.31%"
"Apr 12, 2021","92.14","92.18","92.33","92.01","-","-0.02%"
"Apr 09, 2021","92.16","92.07","92.41","92.03","-","0.11%"
"Apr 08, 2021","92.06","92.42","92.48","92.00","-","-0.42%"
"Apr 07, 2021","92.45","92.32","92.50","92.14","-","0.13%"
"Apr 06, 2021","92.33","92.57","92.79","92.27","-","-0.28%"
"Apr 05, 2021","92.59","93.01","93.11","92.54","-","-0.46%"
"Apr 02, 2021","93.02","92.89","93.07","92.83","-","0.10%"
"Apr 01, 2021","92.93","93.22","93.34","92.88","-","-0.32%"
"Mar 31, 2021","93.23","93.24","93.44","92.99","-","-0.08%"
"Mar 30, 2021","93.30","92.91","93.35","92.88","-","0.39%"
"Mar 29, 2021","92.94","92.72","92.96","92.72","-","0.18%"
"Mar 26, 2021","92.77","92.81","92.87","92.64","-","0.26%"
"Mar 25, 2021","92.53","92.60","92.92","92.51","-","0.00%"
"Mar 24, 2021","92.53","92.39","92.61","92.34","-","0.21%"
"Mar 23, 2021","92.34","91.80","92.39","91.76","-","0.65%"
"Mar 22, 2021","91.74","92.07","92.15","91.71","-","-0.20%"
"Mar 19, 2021","91.92","91.83","92.17","91.66","-","0.07%"
"Mar 18, 2021","91.86","91.40","91.90","91.30","-","0.46%"
"Mar 17, 2021","91.44","91.86","92.00","91.37","-","-0.46%"
"Mar 16, 2021","91.86","91.83","92.03","91.68","-","0.03%"
"Mar 15, 2021","91.83","91.66","91.97","91.54","-","0.16%"
"Mar 12, 2021","91.68","91.43","91.96","91.40","-","0.28%"
"Mar 11, 2021","91.42","91.79","91.88","91.36","-","-0.44%"
"Mar 10, 2021","91.82","92.05","92.24","91.77","-","-0.15%"
"Mar 09, 2021","91.96","92.46","92.50","91.91","-","-0.38%"
"Mar 08, 2021","92.31","91.98","92.42","91.84","-","0.36%"
"Mar 05, 2021","91.98","91.66","92.19","91.62","-","0.38%"
"Mar 04, 2021","91.63","91.01","91.67","90.97","-","0.75%"
"Mar 03, 2021","90.95","90.79","91.06","90.63","-","0.19%"
"Mar 02, 2021","90.78","91.03","91.39","90.72","-","-0.29%"
"Mar 01, 2021","91.04","90.93","91.14","90.69","-","0.18%"
"Feb 26, 2021","90.88","90.36","90.97","90.13","-","0.83%"
"Feb 25, 2021","90.13","90.07","90.29","89.68","-","-0.06%"
"Feb 24, 2021","90.18","90.10","90.43","89.98","-","0.01%"
"Feb 23, 2021","90.17","90.02","90.26","89.94","-","0.18%"
"Feb 22, 2021","90.01","90.34","90.58","90.00","-","-0.39%"
"Feb 19, 2021","90.36","90.57","90.65","90.18","-","-0.25%"
"Feb 18, 2021","90.59","90.90","90.98","90.54","-","-0.40%"
"Feb 17, 2021","90.95","90.71","91.06","90.62","-","0.49%"
"Feb 16, 2021","90.51","90.29","90.65","90.12","-","0.03%"
"Feb 15, 2021","90.48","90.45","90.48","90.27","-","0.00%"
"Feb 12, 2021","90.48","90.41","90.74","90.38","-","0.07%"
"Feb 11, 2021","90.42","90.46","90.47","90.26","-","0.06%"
"Feb 10, 2021","90.37","90.49","90.53","90.25","-","-0.08%"
"Feb 09, 2021","90.44","90.91","90.93","90.43","-","-0.54%"
"Feb 08, 2021","90.93","91.00","91.23","90.90","-","-0.12%"
"Feb 05, 2021","91.04","91.49","91.60","90.98","-","-0.54%"
"Feb 04, 2021","91.53","91.09","91.58","91.08","-","0.39%"
"Feb 03, 2021","91.17","91.05","91.31","90.99","-","-0.03%"
"Feb 02, 2021","91.20","91.00","91.29","90.80","-","0.24%"
"Feb 01, 2021","90.98","90.53","91.06","90.50","-","0.44%"
"Jan 29, 2021","90.58","90.56","90.78","90.36","-","0.14%"
"Jan 28, 2021","90.45","90.73","90.86","90.41","-","-0.22%"
"Jan 27, 2021","90.65","90.15","90.88","90.15","-","0.53%"
"Jan 26, 2021","90.17","90.39","90.61","90.12","-","-0.24%"
"Jan 25, 2021","90.39","90.23","90.52","90.08","-","0.17%"
"Jan 22, 2021","90.24","90.05","90.31","90.05","-","0.12%"
"Jan 21, 2021","90.13","90.42","90.45","90.05","-","-0.38%"
"Jan 20, 2021","90.47","90.41","90.70","90.28","-","-0.03%"
"Jan 19, 2021","90.50","90.73","90.76","90.40","-","-0.30%"
"Jan 18, 2021","90.77","90.78","90.95","90.71","-","0.00%"
"Jan 15, 2021","90.77","90.22","90.80","90.22","-","0.59%"
"Jan 14, 2021","90.24","90.28","90.58","90.08","-","-0.13%"
"Jan 13, 2021","90.36","90.00","90.45","89.92","-","0.30%"
"Jan 12, 2021","90.09","90.52","90.62","90.03","-","-0.42%"
"Jan 11, 2021","90.47","90.07","90.73","90.03","-","0.41%"
"Jan 08, 2021","90.10","89.83","90.25","89.66","-","0.30%"
"Jan 07, 2021","89.83","89.32","89.97","89.32","-","0.34%"
"Jan 06, 2021","89.53","89.48","89.80","89.21","-","0.10%"
"Jan 05, 2021","89.44","89.90","89.90","89.43","-","-0.48%"
"Jan 04, 2021","89.87","89.93","89.94","89.42","-","-0.08%"
"Jan 01, 2021","89.94","89.93","89.94","89.93","-","0.00%"
